Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17|9.0.30729
Windows Mobile Extension SDK Contracts|10.1.17134.12
Microsoft Visual Studio Setup Configuration|1.17.1230.42073
Windows SDK Desktop Libs x64|10.1.17134.12
TypeScript SDK|3.0.3.0
icecap_collection_neutral|15.8.27906
Windows Simulator - ENU|15.0.27729
vs_clickoncebootstrappermsi|15.0.27005
Windows SDK Desktop Tools x64|10.1.17134.12
IntelliTraceProfilerProxy|15.0.17289.01
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030|11.0.61030
osu!|latest
Microsoft ASP.NET Web Tools Packages 15.0 - ENU|1.0.30615.0
Microsoft Windows Communication Foundation Diagnostic Pack for x86|15.0.27005
Microsoft .NET CoreRuntime SDK|1.1.26702.0
Universal CRT Redistributable|10.1.17134.12
Microsoft Visual C++ 2017 x86 Debug Runtime - 14.15.26706|14.15.26706
Entity Framework 6.2.0 Tools  for Visual Studio 2017|6.2.61807.0
Microsoft Portable Library Multi-Targeting Pack Language Pack - enu|15.0.26621.02
Intel(R) Chipset Device Software|10.1.1.38
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030|11.0.61030
vs_devenvmsi|15.0.26621
Windows Desktop Extension SDK Contracts|10.1.17134.12
WinRT Intellisense UAP - Other Languages|10.1.17134.12
WinRT Intellisense Desktop - Other Languages|10.1.17134.12
vs_BlendMsi|15.0.27205
Windows SDK for Windows Store Apps|10.1.17134.12
Launcher Prerequisites (x64)|1.0.0.0
Windows SDK for Windows Store Apps DirectX x86 Remote|10.1.17134.12
Epic Games Launcher|1.1.144.0
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030|11.0.61030.0
Microsoft .NET Framework 4 Multi-Targeting Pack|4.0.30319
Update for  (KB2504637)|1
vcpp_crt.redist.clickonce|14.15.26706
ClickOnce Bootstrapper Package for Microsoft .NET Framework|4.7.03083
Microsoft .NET Core SDK - 2.1.201 (x64)|2.1.201
Windows IoT Extension SDK Contracts|10.1.17134.12
Microsoft XNA Framework Redistributable 4.0 Refresh|4.0.30901.0
Apex Legends|1.0.0.5
Windows SDK Redistributables|10.1.17134.12
vs_minshellmsi|15.8.28010
vs_filehandler_amd64|15.8.27924
Microsoft UniversalWindowsPlatform SDK|15.7.10
Microsoft TestPlatform SDK Local Feed|15.8.0.1845278
Windows SDK for Windows Store Managed Apps Libs|10.1.17134.12
Windows SDK AddOn|10.1.0.0
CyberLink PowerDirector 16|16.0.2101.0
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219|10.0.40219
WinRT Intellisense PPI - Other Languages|10.1.17134.12
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501|12.0.30501.0
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005|12.0.21005
Windows Simulator|15.0.27729
Windows Team Extension SDK Contracts|10.1.17134.12
CyberLink Director Suite 6|6.0
Windows SDK DirectX x86 Remote|10.1.17134.12
Windows App Certification Kit SupportedApiList x86|10.1.17134.12
Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022|9.0.21022
